Year,Category,Education,Salary
2004,BUS,Bachelor's,46630.625
2004,BUS,Doctorate,63104.125
2004,BUS,Master's/Professional,53710.375
2004,CLN,Bachelor's,16495.0
2004,CLN,Doctorate,21734.75
2004,CLN,Master's/Professional,15837.25
2004,CMM,Bachelor's,58152.125
2004,CMM,Doctorate,82107.25
2004,CMM,Master's/Professional,66617.875
2004,CMS,Bachelor's,27773.666666666668
2004,CMS,Doctorate,37312.166666666664
2004,CMS,Master's/Professional,34948.0
2004,CON,Bachelor's,25323.285714285714
2004,CON,Doctorate,36040.28571428572
2004,CON,Master's/Professional,26785.714285714286
2004,EAT,Bachelor's,15244.333333333334
2004,EAT,Doctorate,25118.5
2004,EAT,Master's/Professional,15371.5
2004,EDU,Bachelor's,25013.81818181818
2004,EDU,Doctorate,52045.36363636364
2004,EDU,Master's/Professional,32523.727272727272
2004,ENG,Bachelor's,62010.78571428572
2004,ENG,Doctorate,85455.35714285714
2004,ENG,Master's/Professional,70964.07142857143
2004,ENT,Bachelor's,32952.666666666664
2004,ENT,Doctorate,31165.133333333335
2004,ENT,Master's/Professional,37192.2
2004,FFF,Bachelor's,29580.5
2004,FFF,Doctorate,1494.5
2004,FFF,Master's/Professional,23317.0
2004,FIN,Bachelor's,52704.7
2004,FIN,Doctorate,54967.4
2004,FIN,Master's/Professional,67417.6
2004,HLS,Bachelor's,17897.6
2004,HLS,Doctorate,37830.4
2004,HLS,Master's/Professional,24576.0
2004,LGL,Bachelor's,41374.666666666664
2004,LGL,Doctorate,59056.666666666664
2004,LGL,Master's/Professional,59787.333333333336
2004,MED,Bachelor's,38833.23529411765
2004,MED,Doctorate,62759.0
2004,MED,Master's/Professional,42829.0
2004,MGR,Bachelor's,61477.53846153846
2004,MGR,Doctorate,74786.5
2004,MGR,Master's/Professional,71693.46153846153
2004,MIL,Bachelor's,51434.0
2004,MIL,Doctorate,90835.33333333333
2004,MIL,Master's/Professional,72502.66666666667
2004,OFF,Bachelor's,26675.515151515152
2004,OFF,Doctorate,40002.30303030303
2004,OFF,Master's/Professional,30417.242424242424
2004,PRD,Bachelor's,30020.6
2004,PRD,Doctorate,39318.4
2004,PRD,Master's/Professional,31013.9
2004,PRS,Bachelor's,18446.833333333332
2004,PRS,Doctorate,33310.0
2004,PRS,Master's/Professional,15959.083333333334
2004,PRT,Bachelor's,39115.0
2004,PRT,Doctorate,42101.71428571428
2004,PRT,Master's/Professional,41438.0
2004,RPR,Bachelor's,37639.5
2004,RPR,Doctorate,31871.3
2004,RPR,Master's/Professional,31729.9
2004,SAL,Bachelor's,44088.0
2004,SAL,Doctorate,68105.5
2004,SAL,Master's/Professional,51305.28571428572
2004,SCI,Bachelor's,36324.666666666664
2004,SCI,Doctorate,66656.44444444444
2004,SCI,Master's/Professional,45998.77777777778
2004,TRN,Bachelor's,32976.0
2004,TRN,Doctorate,19250.625
2004,TRN,Master's/Professional,37896.0
2005,BUS,Bachelor's,49891.6
2005,BUS,Doctorate,68112.8
2005,BUS,Master's/Professional,55619.5
2005,CLN,Bachelor's,20032.0
2005,CLN,Doctorate,9856.6
2005,CLN,Master's/Professional,19383.0
2005,CMM,Bachelor's,55687.88888888889
2005,CMM,Doctorate,78231.0
2005,CMM,Master's/Professional,65322.333333333336
2005,CMS,Bachelor's,27848.833333333332
2005,CMS,Doctorate,42476.833333333336
2005,CMS,Master's/Professional,34760.333333333336
2005,CON,Bachelor's,26882.0
2005,CON,Doctorate,26969.5
2005,CON,Master's/Professional,26438.5
2005,EAT,Bachelor's,16970.555555555555
2005,EAT,Doctorate,12278.0
2005,EAT,Master's/Professional,18842.0
2005,EDU,Bachelor's,25032.0
2005,EDU,Doctorate,36200.181818181816
2005,EDU,Master's/Professional,33421.818181818184
2005,ENG,Bachelor's,57482.933333333334
2005,ENG,Doctorate,73501.26666666666
2005,ENG,Master's/Professional,64406.46666666667
2005,ENT,Bachelor's,34135.8125
2005,ENT,Doctorate,29626.625
2005,ENT,Master's/Professional,38902.4375
2005,FFF,Bachelor's,28601.0
2005,FFF,Doctorate,25199.666666666668
2005,FFF,Master's/Professional,20707.666666666668
2005,FIN,Bachelor's,56206.63636363636
2005,FIN,Doctorate,69923.18181818182
2005,FIN,Master's/Professional,75075.0
2005,HLS,Bachelor's,19902.2
2005,HLS,Doctorate,35208.8
2005,HLS,Master's/Professional,25662.0
2005,LGL,Bachelor's,45335.0
2005,LGL,Doctorate,62670.0
2005,LGL,Master's/Professional,60190.0
2005,MED,Bachelor's,41937.565217391304
2005,MED,Doctorate,65494.34782608696
2005,MED,Master's/Professional,49968.391304347824
2005,MGR,Bachelor's,60972.09090909091
2005,MGR,Doctorate,79897.0
2005,MGR,Master's/Professional,74868.63636363637
2005,MIL,Bachelor's,44108.0
2005,MIL,Doctorate,65995.0
2005,MIL,Master's/Professional,70873.0
2005,OFF,Bachelor's,27696.34375
2005,OFF,Doctorate,34911.8125
2005,OFF,Master's/Professional,34310.53125
2005,PRD,Bachelor's,26701.608695652172
2005,PRD,Doctorate,30005.043478260868
2005,PRD,Master's/Professional,30299.956521739132
2005,PRS,Bachelor's,18142.30769230769
2005,PRS,Doctorate,24959.76923076923
2005,PRS,Master's/Professional,18014.076923076922
2005,PRT,Bachelor's,51629.1
2005,PRT,Doctorate,45931.5
2005,PRT,Master's/Professional,54237.0
2005,RPR,Bachelor's,36198.692307692305
2005,RPR,Doctorate,28769.923076923078
2005,RPR,Master's/Professional,34955.92307692308
2005,SAL,Bachelor's,50464.6
2005,SAL,Doctorate,53243.13333333333
2005,SAL,Master's/Professional,57715.46666666667
2005,SCI,Bachelor's,41335.8
2005,SCI,Doctorate,76457.4
2005,SCI,Master's/Professional,52976.6
2005,TRN,Bachelor's,34454.181818181816
2005,TRN,Doctorate,37463.36363636364
2005,TRN,Master's/Professional,37301.63636363636
2006,BUS,Bachelor's,57151.625
2006,BUS,Doctorate,85766.75
2006,BUS,Master's/Professional,69174.375
2006,CLN,Bachelor's,30444.5
2006,CLN,Doctorate,44709.833333333336
2006,CLN,Master's/Professional,33932.5
2006,CMM,Bachelor's,67077.3
2006,CMM,Doctorate,101098.6
2006,CMM,Master's/Professional,78606.7
2006,CMS,Bachelor's,30638.333333333332
2006,CMS,Doctorate,49233.166666666664
2006,CMS,Master's/Professional,39757.333333333336
2006,CON,Bachelor's,39613.6
2006,CON,Doctorate,42490.5
2006,CON,Master's/Professional,52240.1
2006,EAT,Bachelor's,19800.2
2006,EAT,Doctorate,48393.1
2006,EAT,Master's/Professional,21847.8
2006,EDU,Bachelor's,29183.3
2006,EDU,Doctorate,48107.0
2006,EDU,Master's/Professional,40407.7
2006,ENG,Bachelor's,70899.85714285714
2006,ENG,Doctorate,89842.21428571429
2006,ENG,Master's/Professional,78637.35714285714
2006,ENT,Bachelor's,46059.1875
2006,ENT,Doctorate,54320.0
2006,ENT,Master's/Professional,55481.625
2006,FFF,Bachelor's,31687.333333333332
2006,FFF,Doctorate,13054.333333333334
2006,FFF,Master's/Professional,62503.333333333336
2006,FIN,Bachelor's,66403.11111111111
2006,FIN,Doctorate,90949.77777777778
2006,FIN,Master's/Professional,98571.11111111111
2006,HLS,Bachelor's,23249.4
2006,HLS,Doctorate,29468.0
2006,HLS,Master's/Professional,32324.6
2006,LGL,Bachelor's,40219.0
2006,LGL,Doctorate,48986.5
2006,LGL,Master's/Professional,55167.0
2006,MED,Bachelor's,50072.23809523809
2006,MED,Doctorate,72678.57142857143
2006,MED,Master's/Professional,56186.619047619046
2006,MGR,Bachelor's,68942.13043478261
2006,MGR,Doctorate,93178.82608695653
2006,MGR,Master's/Professional,86432.86956521739
2006,MIL,Bachelor's,49592.0
2006,MIL,Doctorate,62394.0
2006,MIL,Master's/Professional,71918.0
2006,OFF,Bachelor's,32403.375
2006,OFF,Doctorate,41834.59375
2006,OFF,Master's/Professional,37949.375
2006,PRD,Bachelor's,41185.681818181816
2006,PRD,Doctorate,65869.36363636363
2006,PRD,Master's/Professional,40049.0
2006,PRS,Bachelor's,25140.416666666668
2006,PRS,Doctorate,24936.833333333332
2006,PRS,Master's/Professional,25962.5
2006,PRT,Bachelor's,57728.555555555555
2006,PRT,Doctorate,56278.11111111111
2006,PRT,Master's/Professional,64977.333333333336
2006,RPR,Bachelor's,48555.818181818184
2006,RPR,Doctorate,48053.36363636364
2006,RPR,Master's/Professional,54820.36363636364
2006,SAL,Bachelor's,56581.705882352944
2006,SAL,Doctorate,63524.58823529412
2006,SAL,Master's/Professional,68286.05882352941
2006,SCI,Bachelor's,48421.53846153846
2006,SCI,Doctorate,82528.07692307692
2006,SCI,Master's/Professional,60252.38461538462
2006,TRN,Bachelor's,39997.454545454544
2006,TRN,Doctorate,34369.0
2006,TRN,Master's/Professional,46314.818181818184
2007,BUS,Bachelor's,61358.8
2007,BUS,Doctorate,83727.1
2007,BUS,Master's/Professional,77185.6
2007,CLN,Bachelor's,32049.8
2007,CLN,Doctorate,20202.0
2007,CLN,Master's/Professional,32609.4
2007,CMM,Bachelor's,71079.7
2007,CMM,Doctorate,92417.0
2007,CMM,Master's/Professional,83119.4
2007,CMS,Bachelor's,31926.166666666668
2007,CMS,Doctorate,48351.166666666664
2007,CMS,Master's/Professional,40657.166666666664
2007,CON,Bachelor's,39169.555555555555
2007,CON,Doctorate,37998.0
2007,CON,Master's/Professional,43997.333333333336
2007,EAT,Bachelor's,19859.333333333332
2007,EAT,Doctorate,28830.222222222223
2007,EAT,Master's/Professional,20575.444444444445
2007,EDU,Bachelor's,29201.090909090908
2007,EDU,Doctorate,46541.72727272727
2007,EDU,Master's/Professional,40867.27272727273
2007,ENG,Bachelor's,72543.93333333333
2007,ENG,Doctorate,94561.26666666666
2007,ENG,Master's/Professional,81200.46666666666
2007,ENT,Bachelor's,47465.294117647056
2007,ENT,Doctorate,48426.882352941175
2007,ENT,Master's/Professional,54210.529411764706
2007,EXT,Bachelor's,45818.0
2007,EXT,Doctorate,21000.0
2007,EXT,Master's/Professional,81000.0
2007,FFF,Bachelor's,50483.25
2007,FFF,Doctorate,69979.0
2007,FFF,Master's/Professional,42251.75
2007,FIN,Bachelor's,67970.66666666667
2007,FIN,Doctorate,97277.75
2007,FIN,Master's/Professional,99566.0
2007,HLS,Bachelor's,25025.8
2007,HLS,Doctorate,39398.4
2007,HLS,Master's/Professional,32247.4
2007,LGL,Bachelor's,43174.5
