,Name,Street,City,State,ZIP Code
0,A & W Healthcare Educators,6930 Martin Drive,New Orleans,LA,70126
1,A T Still University of Health Sciences,800 W Jefferson,Kirksville,MO,63501
2,Aaniiih Nakoda College,269 Blackfeet Avenue,Harlem,MT,59526
3,Aaron's Academy of Beauty,11690 Doolittle Drive,Waldorf,MD,20602
4,ABC Beauty Academy,1841 N Jupiter Rd Ste 120,Garland,TX,75042
5,ABC Beauty College Inc,203 S 26th Street,Arkadelphia,AR,71923
6,Abcott Institute,"16250 Northland Drive, Suite 205",Southfield,MI,48075-5227
7,Abdill Career College Inc,843 E Main Ste 203,Medford,OR,97504-7137
8,Abington Memorial Hospital Dixon School of Nursing,2500 Maryland Rd Ste 200,Willow Grove,PA,19090-1284
9,Abraham Baldwin Agricultural College,2802 Moore Hwy,Tifton,GA,31793-2601
10,Academia Serrant Inc,Concordia 8180 Esq Aurora,Ponce,PR,00717-1568
11,Academy Di Capelli-School of Cosmetology,950 Yale Ave Unit 20,Wallingford,CT,06492
12,Academy di Firenze,149 West Main Street,Jerome,ID,83338-2329
13,Academy for Careers and Technology,2697 E Hwy 76,Mullins,SC,29574-6009
14,Academy for Five Element Acupuncture,305 SE 2nd Ave,Gainesville,FL,32601
15,Academy for Jewish Religion-California,"3250 Wilshire Boulevard, Suite 550",Los Angeles,CA,90010
16,Academy for Nursing and Health Occupations,5154 Okeechobee Blvd Ste 201,West Palm Beach,FL,33417
17,Academy for Salon Professionals,2238 El Camino Real,Santa Clara,CA,95050-4057
18,Academy for Salon Professionals,8372 Topanga Canyon Boulevard,Canoga Park,CA,91304-2305
19,Academy of Art University,79 New Montgomery,San Francisco,CA,94105
20,Academy of Career Training,3501 W Vine St Ste 111,Kissimmee,FL,34741
21,Academy of Careers and Technology,390 Stanaford Rd,Beckley,WV,25801
22,Academy of Chinese Culture and Health Sciences,"1600 Broadway, Ste. 200",Oakland,CA,94612
23,Academy of Cosmetology,2088 N. Courtenay Parkway,Merritt Island,FL,32953
24,Academy of Cosmetology,2310 W Court St,Janesville,WI,53548-3307
25,Academy of Cosmetology,1368 Jadwin Ave,Richland,WA,99354-3404
26,Academy of Cosmetology and Esthetics NYC,187 New Dorp Ln,Staten Island,NY,10306
27,Academy of Couture Art,8484 Wilshire Blvd Suite #730,Beverly Hills,CA,90211
28,Academy of Esthetics and Cosmetology,1242 San Fernando Rd,San Fernando,CA,91340-3212
29,Academy of Hair Design-Beaumont,"3141 College, Suite A-10",Beaumont,TX,77701-4650
30,Academy of Hair Design-Grenada,1301 Sunset Dr #JK,Grenada,MS,38901
