date,fips_code,state,county,living_wage,poverty_wage,minimum_wage
20221108090415,01001,Alabama,Autauga County,16.04,6.19,7.25
20221108090415,01003,Alabama,Baldwin County,16.64,6.19,7.25
20221108090415,01005,Alabama,Barbour County,14.87,6.19,7.25
20221108090415,01007,Alabama,Bibb County,17.40,6.19,7.25
20221108090415,01009,Alabama,Blount County,17.40,6.19,7.25
20221108090415,01011,Alabama,Bullock County,15.21,6.19,7.25
20221108090415,01013,Alabama,Butler County,14.80,6.19,7.25
20221108090415,01015,Alabama,Calhoun County,14.82,6.19,7.25
20221108090415,01017,Alabama,Chambers County,15.22,6.19,7.25
20221108090415,01019,Alabama,Cherokee County,14.80,6.19,7.25
20221108090415,01021,Alabama,Chilton County,15.69,6.19,7.25
20221108090415,01023,Alabama,Choctaw County,14.80,6.19,7.25
20221108090415,01025,Alabama,Clarke County,14.80,6.19,7.25
20221108090415,01027,Alabama,Clay County,14.80,6.19,7.25
20221108090415,01029,Alabama,Cleburne County,14.80,6.19,7.25
20221108090415,01031,Alabama,Coffee County,15.13,6.19,7.25
20221108090415,01033,Alabama,Colbert County,15.15,6.19,7.25
20221108090415,01035,Alabama,Conecuh County,14.80,6.19,7.25
20221108090415,01037,Alabama,Coosa County,15.11,6.19,7.25
20221108090415,01039,Alabama,Covington County,14.80,6.19,7.25
20221108090415,01041,Alabama,Crenshaw County,14.80,6.19,7.25
20221108090415,01043,Alabama,Cullman County,14.91,6.19,7.25
20221108090415,01045,Alabama,Dale County,15.14,6.19,7.25
20221108090415,01047,Alabama,Dallas County,14.90,6.19,7.25
20221108090415,01049,Alabama,DeKalb County,14.33,6.19,7.25
20221108090415,01051,Alabama,Elmore County,16.04,6.19,7.25
20221108090415,01053,Alabama,Escambia County,14.80,6.19,7.25
20221108090415,01055,Alabama,Etowah County,15.40,6.19,7.25
20221108090415,01057,Alabama,Fayette County,14.80,6.19,7.25
20221108090415,01059,Alabama,Franklin County,14.80,6.19,7.25
20221108090415,01061,Alabama,Geneva County,15.29,6.19,7.25
20221108090415,01063,Alabama,Greene County,14.80,6.19,7.25
20221108090415,01065,Alabama,Hale County,16.43,6.19,7.25
20221108090415,01067,Alabama,Henry County,14.90,6.19,7.25
20221108090415,01069,Alabama,Houston County,15.29,6.19,7.25
20221108090415,01071,Alabama,Jackson County,14.64,6.19,7.25
20221108090415,01073,Alabama,Jefferson County,17.40,6.19,7.25
20221108090415,01075,Alabama,Lamar County,14.80,6.19,7.25
20221108090415,01077,Alabama,Lauderdale County,15.15,6.19,7.25
20221108090415,01079,Alabama,Lawrence County,15.03,6.19,7.25
20221108090415,01081,Alabama,Lee County,15.65,6.19,7.25
20221108090415,01083,Alabama,Limestone County,15.64,6.19,7.25
20221108090415,01085,Alabama,Lowndes County,16.04,6.19,7.25
20221108090415,01087,Alabama,Macon County,14.97,6.19,7.25
20221108090415,01089,Alabama,Madison County,15.64,6.19,7.25
20221108090415,01091,Alabama,Marengo County,14.80,6.19,7.25
20221108090415,01093,Alabama,Marion County,14.80,6.19,7.25
20221108090415,01095,Alabama,Marshall County,14.98,6.19,7.25
20221108090415,01097,Alabama,Mobile County,16.05,6.19,7.25
20221108090415,01099,Alabama,Monroe County,14.80,6.19,7.25
20221108090415,01101,Alabama,Montgomery County,16.04,6.19,7.25
20221108090415,01103,Alabama,Morgan County,15.03,6.19,7.25
20221108090415,01105,Alabama,Perry County,14.80,6.19,7.25
20221108090415,01107,Alabama,Pickens County,14.88,6.19,7.25
20221108090415,01109,Alabama,Pike County,15.04,6.19,7.25
20221108090415,01111,Alabama,Randolph County,14.80,6.19,7.25
20221108090415,01113,Alabama,Russell County,16.07,6.19,7.25
20221108090415,01115,Alabama,St. Clair County,17.40,6.19,7.25
20221108090415,01117,Alabama,Shelby County,17.40,6.19,7.25
20221108090415,01119,Alabama,Sumter County,15.61,6.19,7.25
20221108090415,01121,Alabama,Talladega County,15.04,6.19,7.25
20221108090415,01123,Alabama,Tallapoosa County,14.81,6.19,7.25
20221108090415,01125,Alabama,Tuscaloosa County,16.43,6.19,7.25
20221108090415,01127,Alabama,Walker County,15.31,6.19,7.25
20221108090415,01129,Alabama,Washington County,14.87,6.19,7.25
