date,fips_code,state,county,living_wage,poverty_wage,minimum_wage,year
20130530035115,01001,Alabama,Autauga County,8.9,5.21,7.25,2013
20140210110316,01001,Alabama,Autauga County,8.9,5.21,7.25,2014
20150831083927,01001,Alabama,Autauga County,10.64,5.0,7.25,2015
20150910090637,01001,Alabama,Autauga County,10.64,5.0,7.25,2015
20151211071044,01001,Alabama,Autauga County,10.64,5.0,7.25,2015
20160115012214,01001,Alabama,Autauga County,10.64,5.0,7.25,2016
20160415001231,01001,Alabama,Autauga County,10.64,5.0,7.25,2016
20160516091651,01001,Alabama,Autauga County,10.64,5.0,7.25,2016
20160831180718,01001,Alabama,Autauga County,10.87,5.0,7.25,2016
20161201162320,01001,Alabama,Autauga County,10.87,5.0,7.25,2016
20161203173336,01001,Alabama,Autauga County,10.87,5.0,7.25,2016
20170607120341,01001,Alabama,Autauga County,10.67,5.0,7.25,2017
20170708212826,01001,Alabama,Autauga County,10.67,5.0,7.25,2017
20170809012635,01001,Alabama,Autauga County,10.67,5.0,7.25,2017
20170908231532,01001,Alabama,Autauga County,10.67,5.0,7.25,2017
20171010095806,01001,Alabama,Autauga County,10.67,5.0,7.25,2017
20171111003145,01001,Alabama,Autauga County,10.67,5.0,7.25,2017
20171213033049,01001,Alabama,Autauga County,10.67,5.0,7.25,2017
20180114072656,01001,Alabama,Autauga County,10.67,5.0,7.25,2018
20180214191853,01001,Alabama,Autauga County,11.1,5.0,7.25,2018
20180318102525,01001,Alabama,Autauga County,11.1,5.0,7.25,2018
20180319170011,01001,Alabama,Autauga County,11.1,5.0,7.25,2018
20180429094458,01001,Alabama,Autauga County,11.1,5.0,7.25,2018
20180531202850,01001,Alabama,Autauga County,11.1,5.0,7.25,2018
20180720085614,01001,Alabama,Autauga County,11.1,5.0,7.25,2018
20180825070521,01001,Alabama,Autauga County,11.1,5.0,7.25,2018
20180927051707,01001,Alabama,Autauga County,11.1,5.0,7.25,2018
20190108210346,01001,Alabama,Autauga County,11.1,5.8,7.25,2019
20190327060959,01001,Alabama,Autauga County,11.41,5.84,7.25,2019
20190430004953,01001,Alabama,Autauga County,11.41,5.84,7.25,2019
20190605222414,01001,Alabama,Autauga County,11.41,5.84,7.25,2019
20190709003355,01001,Alabama,Autauga County,11.41,5.84,7.25,2019
20190809073014,01001,Alabama,Autauga County,11.41,5.84,7.25,2019
20200813205629,01001,Alabama,Autauga County,11.18,6.0,7.25,2020
20201020181953,01001,Alabama,Autauga County,11.18,6.0,7.25,2020
20210118083834,01001,Alabama,Autauga County,11.18,6.0,7.25,2021
20210415085838,01001,Alabama,Autauga County,13.58,6.13,7.25,2021
20210804200947,01001,Alabama,Autauga County,13.58,6.13,7.25,2021
20211201230133,01001,Alabama,Autauga County,13.58,6.13,7.25,2021
20130602043433,01003,Alabama,Baldwin County,8.77,5.21,7.25,2013
20140209202032,01003,Alabama,Baldwin County,8.77,5.21,7.25,2014
