datetime,fips_code,state,county,living_wage,poverty_wage,minimum_wage,year
20130530035115,01001,Alabama,Autauga County,8.9,5.21,7.25,2013
20140210110316,01001,Alabama,Autauga County,8.9,5.21,7.25,2014
20150831083927,01001,Alabama,Autauga County,10.64,5.0,7.25,2015
20160115012214,01001,Alabama,Autauga County,10.64,5.0,7.25,2016
20170607120341,01001,Alabama,Autauga County,10.67,5.0,7.25,2017
20180114072656,01001,Alabama,Autauga County,10.67,5.0,7.25,2018
20190108210346,01001,Alabama,Autauga County,11.1,5.8,7.25,2019
20200813205629,01001,Alabama,Autauga County,11.18,6.0,7.25,2020
20210118083834,01001,Alabama,Autauga County,11.18,6.0,7.25,2021
20130602043433,01003,Alabama,Baldwin County,8.77,5.21,7.25,2013
20140209202032,01003,Alabama,Baldwin County,8.77,5.21,7.25,2014
20150910091345,01003,Alabama,Baldwin County,10.44,5.0,7.25,2015
20160311154640,01003,Alabama,Baldwin County,10.44,5.0,7.25,2016
20170630141335,01003,Alabama,Baldwin County,11.68,5.0,7.25,2017
20190410101236,01003,Alabama,Baldwin County,12.34,5.84,7.25,2019
20200807044933,01003,Alabama,Baldwin County,12.33,6.0,7.25,2020
20210121060255,01003,Alabama,Baldwin County,12.33,6.0,7.25,2021
20220121212837,01003,Alabama,Baldwin County,14.73,6.13,7.25,2022
20130602031254,01005,Alabama,Barbour County,8.13,5.21,7.25,2013
20150910083956,01005,Alabama,Barbour County,9.72,5.0,7.25,2015
20160113020519,01005,Alabama,Barbour County,9.72,5.0,7.25,2016
20170608152456,01005,Alabama,Barbour County,10.06,5.0,7.25,2017
20190420234909,01005,Alabama,Barbour County,10.77,5.84,7.25,2019
20200928081933,01005,Alabama,Barbour County,10.65,6.0,7.25,2020
20210124213926,01005,Alabama,Barbour County,10.65,6.0,7.25,2021
20130602064034,01007,Alabama,Bibb County,9.2,5.21,7.25,2013
20150910082917,01007,Alabama,Bibb County,10.36,5.0,7.25,2015
20160311154645,01007,Alabama,Bibb County,10.36,5.0,7.25,2016
20170608140012,01007,Alabama,Bibb County,10.98,5.0,7.25,2017
20190420234914,01007,Alabama,Bibb County,12.09,5.84,7.25,2019
20201022182245,01007,Alabama,Bibb County,12.0,6.0,7.25,2020
20210124061206,01007,Alabama,Bibb County,12.0,6.0,7.25,2021
20130530015534,01009,Alabama,Blount County,9.2,5.21,7.25,2013
20150112095853,01009,Alabama,Blount County,9.2,5.21,7.25,2015
20160113064435,01009,Alabama,Blount County,10.36,5.0,7.25,2016
20170608163820,01009,Alabama,Blount County,10.98,5.0,7.25,2017
20190715174339,01009,Alabama,Blount County,12.09,5.84,7.25,2019
20200807034727,01009,Alabama,Blount County,12.0,6.0,7.25,2020
20210121051735,01009,Alabama,Blount County,12.0,6.0,7.25,2021
20220127052632,01009,Alabama,Blount County,15.16,6.13,7.25,2022
20130602073035,01011,Alabama,Bullock County,7.75,5.21,7.25,2013
