,University,Academic Year,Overall Pay,LW Ratio,ZIP,fips_code,county,living_wage
0,University of Washington-Seattle Campus,2022,30804.9375,1.321875,98195,53033,King County,40705.6
2,University of Minnesota-Twin Cities,2022,27785.764705882353,1.211764705882353,55455,27053,Hennepin County,38979.2
3,University of Arizona,2022,23462.81818181818,1.1336363636363638,85721,04019,Pima County,32905.6
4,Tulane University of Louisiana,2022,25853.333333333332,1.12,70118,22071,Orleans Parish,34923.2
5,Vanguard University of Southern California,2022,36337.5,1.405,92626,06059,Orange County,46675.200000000004
6,Oregon State University-Cascades Campus,2022,28594.0,1.36875,97701,41013,Crook County,34465.6
7,Arizona State University-Tempe,2022,26073.88888888889,1.1744444444444444,85287,04013,Maricopa County,37606.399999999994
8,Columbia University in the City of New York,2022,22772.944444444445,0.765,10027,36061,New York County,45281.6
9,Northwestern University,2022,35339.11111111111,1.4566666666666666,60208,17031,Cook County,33945.6
10,Florida International University,2022,20305.0,0.85,33199,12086,Miami-Dade County,33446.399999999994
15,Rensselaer Polytechnic Institute,2022,30246.0,1.3275,12180,36083,Rensselaer County,31449.6
18,University of Michigan-Ann Arbor,2015,27150.0,1.1766666666666667,48109,26161,Washtenaw County,19739.2
19,University of Houston,2022,18114.11111111111,0.8075,77204,48201,Harris County,29806.4
21,Ohio State University-Main Campus,2022,26126.894736842107,1.303157894736842,43210,39049,Franklin County,29369.6
22,Temple University,2022,26500.0,1.1,19122,42101,Philadelphia County,37731.200000000004
23,Harvard University,2021,36716.166666666664,1.2816666666666667,02138,25017,Middlesex County,40664.0
24,Dartmouth College,2022,33373.4,1.3459999999999999,03755,33009,Grafton County,27414.399999999998
25,Tufts University,2022,33095.0,1.185,02155,25017,Middlesex County,40664.0
26,University of California-Santa Barbara,2022,24478.25,0.9325000000000001,93106,06083,Santa Barbara County,48526.399999999994
29,Lehigh University,2019,22000.0,0.98,18015,42077,Lehigh County,23358.4
30,Georgia Institute of Technology-Main Campus,2022,27717.76923076923,1.1907692307692308,30332,13121,Fulton County,34777.6
33,Baylor University,2022,24500.0,1.235,76798,48309,McLennan County,27331.2
34,Colorado State University-Fort Collins,2022,20664.0,0.9214285714285715,80523,08069,Larimer County,33134.4
35,Central Michigan University,2021,14050.0,0.71,48859,26073,Isabella County,22692.8
36,Central Michigan University,2022,13456.5,0.6799999999999999,48859,26073,Isabella County,32822.4
39,Clark University,2022,19302.5,0.855,01610,25027,Worcester County,39083.2
40,University of California-Riverside,2022,21454.285714285714,0.8885714285714286,92521,06065,Riverside County,34195.200000000004
41,University of California-Irvine,2022,30409.23076923077,1.04,92697,06059,Orange County,46675.200000000004
42,University of California-San Francisco,2022,41000.0,1.3699999999999999,94143,06075,San Francisco County,58240.0
43,George Mason University,2022,26235.0,0.87,22030,51059,Fairfax County,41433.600000000006
45,Michigan State University,2022,24261.14285714286,1.1814285714285713,48824,26065,Ingham County,29286.4
46,Brown University,2022,40174.36363636364,1.7645454545454546,02912,44007,Providence County,30638.4
47,South Dakota State University,2021,15949.0,0.85,57007,46011,Brookings County,23067.2
49,University of Maryland-College Park,2022,29239.882352941175,0.9670588235294119,20742,24033,Prince George's County,41225.6
50,Cleveland State University,2022,16500.0,0.825,44115,39035,Cuyahoga County,28038.4
51,Carnegie Mellon University,2022,33155.333333333336,1.6016666666666666,15213,42003,Allegheny County,27268.8
52,University of Toledo,2022,23500.0,1.25,43606,39095,Lucas County,31532.8
53,Emory University,2022,32015.75,1.375,30322,13089,DeKalb County,39561.6
54,University of Akron Main Campus,2022,19000.0,0.96,44325,39153,Summit County,32032.0
55,University of Rhode Island,2022,24707.4,1.085,02881,44009,Washington County,37273.600000000006
57,University of Pennsylvania,2022,37182.55,1.543,19104,42101,Philadelphia County,37731.200000000004
58,Washington State University,2020,18977.0,1.0041666666666667,99164,53075,Whitman County,22401.6
65,Cornell University,2022,37974.07692307692,1.566153846153846,14853,36109,Tompkins County,40206.399999999994
66,Pennsylvania State University-Main Campus,2022,27328.458333333332,1.2179166666666668,16802,42027,Centre County,29390.4
68,Iowa State University,2022,23029.0,1.085,50011,19169,Story County,31241.6
69,University of Michigan-Ann Arbor,2022,26819.785714285714,1.1614285714285715,48109,26161,Washtenaw County,32489.6
71,Yale University,2022,38755.833333333336,1.57,06520,09009,New Haven County,33716.8
72,Rice University,2022,30287.76923076923,1.386153846153846,77005,48201,Harris County,29806.4
73,University of Wisconsin-Madison,2022,28359.15,1.2435,53706,55025,Dane County,38209.6
74,University of California-Santa Barbara,2021,27981.8,1.066,93106,06083,Santa Barbara County,34216.0
76,University of Vermont,2021,27123.0,1.04,05405,50007,Chittenden County,28891.2
78,Marquette University,2022,26557.0,1.24,53233,55079,Milwaukee County,34590.4
79,Harvard University,2022,39536.71428571428,1.3785714285714286,02138,25017,Middlesex County,40664.0
80,University of North Dakota,2022,28100.0,1.46,58202,38035,Grand Forks County,26707.2
81,University of Nebraska-Lincoln,2021,23300.0,1.1949999999999998,68588,31109,Lancaster County,22880.0
82,University of Idaho,2022,21476.666666666668,1.0366666666666666,83844,16057,Latah County,28496.0
83,Florida State University,2022,21783.333333333332,0.9333333333333332,32306,12073,Leon County,33654.4
84,Vanderbilt University,2022,34570.0,1.505,37240,47037,Davidson County,30867.2
85,California Institute of Technology,2022,21736.0,0.8414285714285714,91125,06037,Los Angeles County,40248.0
86,California Institute of Technology,2021,37750.0,1.46,91125,06037,Los Angeles County,30846.4
87,Johns Hopkins University,2022,23758.666666666668,0.9222222222222223,21218,24510,Baltimore city,34320.0
88,Bowling Green State University-Main Campus,2022,14800.0,0.79,43403,39173,Wood County,26894.399999999998
89,Brandeis University,2022,33000.0,1.1833333333333333,02454,25017,Middlesex County,40664.0
90,University of Kansas,2020,22077.083333333332,1.0799999999999998,66045,20045,Douglas County,23836.800000000003
91,University of South Florida-Main Campus,2022,14140.0,0.59,33620,12057,Hillsborough County,31366.4
