,old,new
0,University of Washington,University of Washington-Seattle Campus
1,University of Minnesota-Twin Cities,University of Minnesota-Twin Cities
2,University of Arizona,University of Arizona
3,Tulane University,Tulane University of Louisiana
4,University of Southern California,Vanguard University of Southern California
5,Oregon State University,Oregon State University-Cascades Campus
6,Arizona State University,Arizona State University-Tempe
7,Columbia University,Columbia University in the City of New York
8,Northwestern University,Northwestern University
9,Florida International University,Florida International University
10,University of Pittsburgh,University of Pittsburgh-Pittsburgh Campus
11,University of Georgia,University of Georgia
12,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute
13,Princeton University,Princeton University
14,University of Michigan-Ann Arbor,University of Michigan-Ann Arbor
15,University of Houston,University of Houston
16,North Carolina State University,North Carolina State University at Raleigh
17,Ohio State University,Ohio State University-Main Campus
18,Temple University,Temple University
19,Harvard University,Harvard University
20,Dartmouth College,Dartmouth College
21,Tufts University,Tufts University
22,University of California-Santa Barbara,University of California-Santa Barbara
23,Lehigh University,Lehigh University
24,Georgia Institute of Technology,Georgia Institute of Technology-Main Campus
25,University of Utah,University of Utah
26,Baylor University,Baylor University
27,Colorado State University,Colorado State University-Fort Collins
28,Central Michigan University,Central Michigan University
29,Clark University,Clark University
30,University of California-Riverside,University of California-Riverside
31,University of California-Irvine,University of California-Irvine
32,University of California-San Francisco,University of California-San Francisco
33,George Mason University,George Mason University
34,University of Kansas,University of Kansas
35,Michigan State University,Michigan State University
36,Brown University,Brown University
37,South Dakota State University,South Dakota State University
38,University of Maryland-College Park,University of Maryland-College Park
39,Cleveland State University,Cleveland State University
40,Carnegie Mellon University,Carnegie Mellon University
41,University of Toledo,University of Toledo
42,Emory University,Emory University
43,University of Akron,University of Akron Main Campus
44,University of Rhode Island,University of Rhode Island
45,University of Pennsylvania,University of Pennsylvania
46,Washington State University,Washington State University
47,University of Alabama,The University of Alabama
48,University of Maine,University of Maine
49,Cornell University,Cornell University
50,Pennsylvania State University,Pennsylvania State University-Main Campus
51,Iowa State University,Iowa State University
52,Yale University,Yale University
53,Rice University,Rice University
54,University of Wisconsin-Madison,University of Wisconsin-Madison
55,Stanford University,Stanford University
56,University of Vermont,University of Vermont
57,Marquette University,Marquette University
58,University of North Dakota,University of North Dakota
59,University of Nebraska-Lincoln,University of Nebraska-Lincoln
60,University of Idaho,University of Idaho
61,Florida State University,Florida State University
62,Vanderbilt University,Vanderbilt University
63,California Institute of Technology,California Institute of Technology
64,Johns Hopkins University,Johns Hopkins University
65,Bowling Green State University,Bowling Green State University-Main Campus
66,Brandeis University,Brandeis University
67,University of South Florida,University of South Florida-Main Campus
68,University of North Texas,University of North Texas
69,University of Southern Mississippi,University of Southern Mississippi
70,University of Chicago,University of Chicago
71,University of Cincinnati,University of Cincinnati-Main Campus
72,University of Kentucky,University of Kentucky
73,Fordham University,Fordham University
74,Wayne State University,Wayne State University
75,Boston University,Boston University
76,University of California-San Diego,University of California-San Diego
77,University of Florida,University of Florida
78,North Dakota State University,North Dakota State University-Main Campus
79,Virginia Tech,Virginia Tech Carilion School of Medicine
80,Northern Illinois University,Northern Illinois University
81,University of South Carolina,University of South Carolina-Columbia
82,University of Massachusetts-Amherst,University of Massachusetts-Amherst
83,Northcentral University,Northcentral University
84,University of Delaware,University of Delaware
85,Montclair State University,Montclair State University
86,University of Maryland-Baltimore,University of Maryland-Baltimore
87,Massachusetts Institute of Technology,Massachusetts Institute of Technology
88,University of Montana,The University of Montana
89,University of Nevada-Las Vegas,University of Nevada-Las Vegas
90,Louisiana Tech University,Louisiana Tech University
91,Indiana University,Indiana University-Bloomington
92,Northern Arizona University,Northern Arizona University
93,University of Virginia,University of Virginia-Main Campus
94,Medical College of Wisconsin,Medical College of Wisconsin
95,University of California-Los Angeles,University of California-Los Angeles
96,University of California-Berkeley,University of California-Berkeley
97,Texas Tech University,Texas Tech University
98,Thomas Jefferson University,Thomas Jefferson University
99,Northeastern University,Northeastern University
100,Syracuse University,Syracuse University
101,Georgia State University,Georgia State University
102,Montana State University,Montana State University
103,University of California-Davis,University of California-Davis
104,San Diego State University,San Diego State University
105,Kansas State University,Kansas State University
106,University of New Mexico,University of New Mexico-Main Campus
107,Duke University,Duke University
108,University of Dallas,University of Dallas
109,Wake Forest University,Wake Forest University
110,University of Miami,University of Miami
111,University of Notre Dame,University of Notre Dame
112,New Jersey Institute of Technology,New Jersey Institute of Technology
113,University of Memphis,University of Memphis
114,Nova Southeastern University,Nova Southeastern University
115,New York University,New York University
116,Florida Atlantic University,Florida Atlantic University
117,Yeshiva University,Yeshiva University
118,University of Rochester,University of Rochester
119,Drexel University,Drexel University
120,University of the District of Columbia,University of the District of Columbia
121,University of Iowa,University of Iowa
122,Colorado School of Mines,Colorado School of Mines
123,Loyola University Chicago,Loyola University Chicago
124,University of Central Florida,University of Central Florida
125,Utah State University,Utah State University
126,University of Louisville,University of Louisville
127,Idaho State University,Idaho State University
128,Worcester Polytechnic Institute,Worcester Polytechnic Institute
129,Auburn University,Auburn University
130,Southern Methodist University,Southern Methodist University
131,Case Western Reserve University,Case Western Reserve University
132,University of Missouri,University of Missouri-Columbia
133,University of,A T Still University of Health Sciences
134,University of South Dakota,University of South Dakota
135,Oklahoma State University,Oklahoma State University-Main Campus
136,University of Wisconsin-Milwaukee,University of Wisconsin-Milwaukee
137,University of Tennessee-Knoxville,The University of Tennessee-Knoxville
138,University of Connecticut,University of Connecticut
139,Washington University in St Louis,Washington University in St Louis
140,University of Massachusetts-Boston,University of Massachusetts-Boston
141,Clemson University,Clemson University
142,Sanford Burnham Prebys Medical Discovery Institute,Sanford Burnham Prebys Medical Discovery Institute
143,Oakton Community College,Oakton Community College
144,Kent State University,Kent State University at Kent
145,College of William and Mary,College of William and Mary
146,University of Oklahoma,University of Oklahoma-Norman Campus
147,University of Denver,University of Denver
148,University of Wyoming,University of Wyoming
149,Ohio University,Ohio University-Main Campus
150,CUNY Graduate School and University Center,CUNY Graduate School and University Center
151,Indiana State University,Indiana State University
152,Rochester Institute of Technology,Rochester Institute of Technology
153,Kennesaw State University,Kennesaw State University
154,Claremont Graduate University,Claremont Graduate University
155,Stevens Institute of Technology,Stevens Institute of Technology
156,Old Dominion University,Old Dominion University
157,University of California-Santa Cruz,University of California-Santa Cruz
158,Mississippi State University,Mississippi State University
159,University of Massachusetts-Lowell,University of Massachusetts-Lowell
160,Howard University,Howard University
161,Southern Illinois University-Carbondale,Southern Illinois University-Carbondale
162,Oakland University,Oakland University
163,Texas Christian University,Texas Christian University
164,Miami University,Miami University-Oxford
165,Loma Linda University,Loma Linda University
166,Middle Tennessee State University,Middle Tennessee State University
167,George Washington University,George Washington University
168,Baylor College of Medicine,Baylor College of Medicine
169,University of Oregon,University of Oregon
170,Brigham Young University,Brigham Young University
171,Michigan Technological University,Michigan Technological University
172,University of New Hampshire,University of New Hampshire-Main Campus
173,New Mexico State University,New Mexico State University-Main Campus
174,The Catholic University of America,The Catholic University of America
175,American University,American University
176,Boston College,Boston College
177,Penn State,Pennsylvania State University-Penn State Worthington Scranton
178,Georgetown University,Georgetown University
179,University of Maryland-Baltimore County,University of Maryland-Baltimore County
180,University of Alabama at Birmingham,University of Alabama at Birmingham
181,Villanova University,Villanova University
182,Portland State University,Portland State University
183,West Virginia University,West Virginia University
184,Virginia Commonwealth University,Virginia Commonwealth University
185,University of North Texas Health Science Center,University of North Texas Health Science Center
186,Illinois State University,Illinois State University
187,University of Nevada-Reno,University of Nevada-Reno
188,University of California-Merced,University of California-Merced
189,Saint Louis University,Saint Louis University
190,Sam Houston State University,Sam Houston State University
191,University of Mississippi,University of Mississippi
192,Duquesne University,Duquesne University
193,DePaul University,DePaul University
194,Wichita State University,Wichita State University
195,Yale,Yale University
196,University of South Alabama,University of South Alabama
197,East Tennessee State University,East Tennessee State University
198,University of North Florida,University of North Florida
199,Hofstra University,Hofstra University
200,University of Arkansas for Medical Sciences,University of Arkansas for Medical Sciences
201,Rowan University,Rowan University
202,Capitol Technology University,Capitol Technology University
203,University of Nebraska Medical Center,University of Nebraska Medical Center
204,Eastern Michigan University,Eastern Michigan University
205,Texas A&M University,Texas A&M University-Central Texas
206,University of Kent,University of Kentucky
