,Name,Street,City,State,ZIP Code
9,Albany Medical College,47 New Scotland Ave,Albany,NY,12208-3479
23,Alfred University,One Saxon Drive,Alfred,NY,14802-1205
87,American College of Financial Services,270 S. Bryn Mawr Ave,Bryn Mawr,PA,19010-2196
32,American University,4400 Massachusetts Ave NW,Washington,DC,20016-8001
32,American University,4400 Massachusetts Ave NW,Washington,DC,20016-8001
97,Ball State University,2000 University Ave,Muncie,IN,47306
16,Bard College,Annandale Road,Annandale-On-Hudson,NY,12504-5000
40,Baylor College of Medicine,One Baylor Plaza,Houston,TX,77030-3498
41,Baylor University,500 Speight Ave.,Waco,TX,76798
98,Bentley University,175 Forest St,Waltham,MA,02452-4705
90,Boise State University,1910 University Dr,Boise,ID,83725
1,Boston College,140 Commonwealth Avenue,Chestnut Hill,MA,02467
1,Boston College,140 Commonwealth Avenue,Chestnut Hill,MA,02467
3,Boston University,One Silber Way,Boston,MA,02215
3,Boston University,One Silber Way,Boston,MA,02215
14,Brandeis University,415 South St,Waltham,MA,02454-9110
48,Brite Divinity School,2800 S. University Dr.,Fort Worth,TX,76129
1,Brown University,One Prospect Street,Providence,RI,02912
32,Bryn Mawr College,101 N Merion Avenue,Bryn Mawr,PA,19010
38,Bucknell University,One Dent Drive,Lewisburg,PA,17837
79,California Institute of Technology,1200 E California Blvd,Pasadena,CA,91125
39,Capella University,"225 South 6th Street, 9th Floor",Minneapolis,MN,55402-3389
46,Capitol Technology University,11301 Springfield Rd,Laurel,MD,20708
0,Carnegie Mellon University,5000 Forbes Avenue,Pittsburgh,PA,15213-3890
41,Case Western Reserve University,10900 Euclid Ave,Cleveland,OH,44106
51,Catholic University of America,"620 Michigan Avenue, NE",Washington,DC,20064
97,Central Michigan University,106 Warriner Hall,Mount Pleasant,MI,48859
60,Chapman University,One University Dr.,Orange,CA,92866
44,Claremont Graduate University,150 E Tenth St,Claremont,CA,91711-6160
51,Clark Atlanta University,"223 James P Brawley Drive, SW",Atlanta,GA,30314-4391
54,Clark University,950 Main St,Worcester,MA,01610-1477
54,Clark University,950 Main St,Worcester,MA,01610-1477
58,Clarkson University,8 Clarkson Ave,Potsdam,NY,13699
66,Clemson University,201 Sikes Hall,Clemson,SC,29634
66,Clemson University,201 Sikes Hall,Clemson,SC,29634
75,Cleveland State University,2121 Euclid Avenue,Cleveland,OH,44115-2214
30,College of Charleston,66 George St,Charleston,SC,29424-0001
72,College of William and Mary,200 Richmond Road,Williamsburg,VA,23187-8795
92,Colorado School of Mines,1500 Illinois St,Golden,CO,80401
13,Cornell University,300 Day Hall,Ithaca,NY,14853
13,Cornell University,300 Day Hall,Ithaca,NY,14853
13,Cornell University,300 Day Hall,Ithaca,NY,14853
64,Creighton University,2500 California Plaza,Omaha,NE,68178
90,CUNY Graduate School and University Center,365 Fifth Ave,New York,NY,10016
30,Dakota State University,820 N Washington Ave,Madison,SD,57042-1799
30,Dakota State University,820 N Washington Ave,Madison,SD,57042-1799
46,Dartmouth College,207 Parkhurst Hall,Hanover,NH,03755-3529
20,DePaul University,1 E Jackson Blvd,Chicago,IL,60604
20,DePaul University,1 E Jackson Blvd,Chicago,IL,60604
94,Drexel University,3141 Chestnut St,Philadelphia,PA,19104
94,Drexel University,3141 Chestnut St,Philadelphia,PA,19104
0,Duke University,103 Allen Bldg,Durham,NC,27708
0,Duke University,103 Allen Bldg,Durham,NC,27708
3,Duquesne University,Administration Bldg 600 Forbes Ave,Pittsburgh,PA,15282
16,East Carolina University,East 5th Street,Greenville,NC,27858-4353
